Country,Code,Year,COVID-19 doses (cumulative)
Afghanistan,AFG,2022-08-07,9822860
Afghanistan,AFG,2022-08-15,11216694
Afghanistan,AFG,2022-08-22,11391703
Afghanistan,AFG,2022-08-31,11562525
Afghanistan,AFG,2022-09-04,11588893
Afghanistan,AFG,2022-09-11,11725188
Afghanistan,AFG,2022-09-12,11734635
Afghanistan,AFG,2022-09-19,11820186
Afghanistan,AFG,2022-09-26,11868997
Afghanistan,AFG,2022-09-28,11881035
Afghanistan,AFG,2022-10-04,11923733
Afghanistan,AFG,2022-10-11,11951964
Afghanistan,AFG,2022-10-16,11977773
Afghanistan,AFG,2022-10-24,12055358
Afghanistan,AFG,2022-11-01,12103780
Afghanistan,AFG,2022-11-02,12140367
Afghanistan,AFG,2022-11-08,12174141
Afghanistan,AFG,2022-11-15,12202136
Afghanistan,AFG,2022-11-16,12216936
Afghanistan,AFG,2022-11-27,12275911
Afghanistan,AFG,2022-12-05,12304901
Afghanistan,AFG,2022-12-22,12449870
Afghanistan,AFG,2023-01-06,12526397
Afghanistan,AFG,2023-01-16,12603486
Afghanistan,AFG,2023-01-22,12672379
Afghanistan,AFG,2023-01-29,12684950
Afghanistan,AFG,2023-02-12,12768909
Afghanistan,AFG,2023-02-14,12788310
Afghanistan,AFG,2023-02-19,13603457
Afghanistan,AFG,2023-02-23,13910490
Afghanistan,AFG,2023-02-26,14743912
Afghanistan,AFG,2023-02-28,15093798
Afghanistan,AFG,2023-03-05,15966423
Afghanistan,AFG,2023-03-12,16248588
Afghanistan,AFG,2023-03-14,16250654
Afghanistan,AFG,2023-03-19,16474895
Afghanistan,AFG,2023-03-21,16482384
Afghanistan,AFG,2023-03-26,16498498
Afghanistan,AFG,2023-03-28,16499153
Afghanistan,AFG,2023-04-02,16586584
Afghanistan,AFG,2023-04-09,16625558
Afghanistan,AFG,2023-04-11,16693053
Afghanistan,AFG,2023-04-16,16727076
Afghanistan,AFG,2023-04-18,16826772
Afghanistan,AFG,2023-04-24,16844012
Afghanistan,AFG,2023-04-25,16847328
Afghanistan,AFG,2023-04-30,16902292
Afghanistan,AFG,2023-05-03,16918550
Afghanistan,AFG,2023-05-09,16960754
Afghanistan,AFG,2023-05-14,17060992
Afghanistan,AFG,2023-05-16,17116708
Afghanistan,AFG,2023-05-21,17479380
Afghanistan,AFG,2023-05-29,18434710
Afghanistan,AFG,2023-06-06,19712836
Afghanistan,AFG,2023-06-11,20000706
Afghanistan,AFG,2023-06-13,20013614
Afghanistan,AFG,2023-06-18,20241838
Afghanistan,AFG,2023-06-20,20324304
Afghanistan,AFG,2023-06-27,20393576
Afghanistan,AFG,2023-07-04,20463360
Afghanistan,AFG,2023-07-09,20472584
Afghanistan,AFG,2023-07-11,20536428
Afghanistan,AFG,2023-07-18,20556364
Afghanistan,AFG,2023-07-23,20575008
Afghanistan,AFG,2023-07-25,20662416
Afghanistan,AFG,2023-07-30,20729988
Afghanistan,AFG,2023-08-01,20790068
Afghanistan,AFG,2023-08-06,20837292
Afghanistan,AFG,2023-08-08,20876492
Afghanistan,AFG,2023-08-15,20939198
Afghanistan,AFG,2023-08-20,21022524
Afghanistan,AFG,2023-08-27,21120112
Afghanistan,AFG,2023-09-01,21258362
Afghanistan,AFG,2023-09-05,21271488
Afghanistan,AFG,2023-09-10,21380666
Afghanistan,AFG,2023-09-17,21466978
Afghanistan,AFG,2023-09-19,21565416
Afghanistan,AFG,2023-09-26,21716120
Afghanistan,AFG,2023-10-08,21763332
Afghanistan,AFG,2023-10-16,21893320
Afghanistan,AFG,2023-10-24,22085052
Afghanistan,AFG,2023-11-05,22102080
Afghanistan,AFG,2023-11-07,22207574
Afghanistan,AFG,2023-11-14,22495714
Afghanistan,AFG,2023-11-26,22606932
Afghanistan,AFG,2023-12-31,22964750
Africa,,2020-12-02,826675
Africa,,2020-12-03,826675
Africa,,2020-12-04,826675
Africa,,2020-12-05,826675
Africa,,2020-12-06,826675
Africa,,2020-12-07,826675
Africa,,2020-12-08,826675
Africa,,2020-12-09,826675
Africa,,2020-12-10,826675
Africa,,2020-12-11,826675
Africa,,2020-12-12,826675
Africa,,2020-12-13,826675
Africa,,2020-12-14,826675
Africa,,2020-12-15,826675
Africa,,2020-12-16,826675
Africa,,2020-12-17,826675
Africa,,2020-12-18,826675
Africa,,2020-12-19,826675
Africa,,2020-12-20,826675
Africa,,2020-12-21,826675
Africa,,2020-12-22,826675
Africa,,2020-12-23,826675
Africa,,2020-12-24,826675
Africa,,2020-12-25,826675
Africa,,2020-12-26,826675
Africa,,2020-12-27,826675
Africa,,2020-12-28,826675
Africa,,2020-12-29,826675
Africa,,2020-12-30,826675
Africa,,2020-12-31,826675
Africa,,2021-01-01,826675
Africa,,2021-01-02,826675
Africa,,2021-01-03,826675
Africa,,2021-01-04,826675
Africa,,2021-01-05,826675
Africa,,2021-01-06,826675
Africa,,2021-01-07,826675
Africa,,2021-01-08,826675
Africa,,2021-01-09,826675
Africa,,2021-01-10,827175
Africa,,2021-01-11,827675
Africa,,2021-01-12,828175
Africa,,2021-01-13,828675
Africa,,2021-01-14,829675
Africa,,2021-01-15,830675
Africa,,2021-01-16,833675
Africa,,2021-01-17,835000.3
Africa,,2021-01-18,836325.7
Africa,,2021-01-19,837651
Africa,,2021-01-20,839838
Africa,,2021-01-21,841701.5
Africa,,2021-01-22,843565
Africa,,2021-01-23,845028
Africa,,2021-01-24,845796
Africa,,2021-01-25,846783.2
Africa,,2021-01-26,849854.9
Africa,,2021-01-27,852978.6
Africa,,2021-01-28,856419.4
Africa,,2021-01-29,903750.1
Africa,,2021-01-30,950434.9
Africa,,2021-01-31,994533.56
Africa,,2021-02-01,1076713.2
Africa,,2021-02-02,1142018.6
Africa,,2021-02-03,1200824
Africa,,2021-02-04,1251808.8
Africa,,2021-02-05,1315980.4
Africa,,2021-02-06,1379371.1
Africa,,2021-02-07,1430687.5
Africa,,2021-02-08,1482003.9
Africa,,2021-02-09,1556730.2
Africa,,2021-02-10,1698268.6
Africa,,2021-02-11,1818194
Africa,,2021-02-12,2084024.9
Africa,,2021-02-13,2369506.8
Africa,,2021-02-14,2536882.5
Africa,,2021-02-15,2704258.5
Africa,,2021-02-16,2914213.8
Africa,,2021-02-17,3104682.8
Africa,,2021-02-18,3274008
Africa,,2021-02-19,3423648.2
Africa,,2021-02-20,3560033.5
Africa,,2021-02-21,3655706.8
Africa,,2021-02-22,3757253.8
Africa,,2021-02-23,3894628.5
Africa,,2021-02-24,4227090
Africa,,2021-02-25,4540933
Africa,,2021-02-26,4818529.5
Africa,,2021-02-27,5037871.5
Africa,,2021-02-28,5180589
Africa,,2021-03-01,5328993.5
Africa,,2021-03-02,5553240.5
Africa,,2021-03-03,5787226
Africa,,2021-03-04,5996173.5
Africa,,2021-03-05,6224117
Africa,,2021-03-06,6487984.5
Africa,,2021-03-07,6650386.5
Africa,,2021-03-08,6794751
Africa,,2021-03-09,7027498
Africa,,2021-03-10,7359247
Africa,,2021-03-11,7633313.5
Africa,,2021-03-12,8028327
Africa,,2021-03-13,8408226
Africa,,2021-03-14,8633166
Africa,,2021-03-15,8911920
Africa,,2021-03-16,9231335
Africa,,2021-03-17,9507692
Africa,,2021-03-18,9750294
Africa,,2021-03-19,9998743
Africa,,2021-03-20,10195410
Africa,,2021-03-21,10358628
Africa,,2021-03-22,10521562
Africa,,2021-03-23,10738492
Africa,,2021-03-24,11188632
Africa,,2021-03-25,11607706
Africa,,2021-03-26,11972720
Africa,,2021-03-27,12263718
Africa,,2021-03-28,12507894
Africa,,2021-03-29,12763914
Africa,,2021-03-30,13101769
Africa,,2021-03-31,13439843
Africa,,2021-04-01,13796333
Africa,,2021-04-02,14054543
Africa,,2021-04-03,14291255
Africa,,2021-04-04,14502801
Africa,,2021-04-05,14712417
Africa,,2021-04-06,14990058
Africa,,2021-04-07,15278375
Africa,,2021-04-08,15624754
Africa,,2021-04-09,15909006
Africa,,2021-04-10,16189395
Africa,,2021-04-11,16417061
Africa,,2021-04-12,16664402
Africa,,2021-04-13,16917546
Africa,,2021-04-14,17205282
Africa,,2021-04-15,17478480
Africa,,2021-04-16,17773016
Africa,,2021-04-17,18057766
Africa,,2021-04-18,18275912
Africa,,2021-04-19,18499694
Africa,,2021-04-20,18741916
Africa,,2021-04-21,19007498
Africa,,2021-04-22,19238104
Africa,,2021-04-23,19466540
Africa,,2021-04-24,19683590
Africa,,2021-04-25,19890848
Africa,,2021-04-26,20106990
Africa,,2021-04-27,20426870
Africa,,2021-04-28,20849420
Africa,,2021-04-29,21118258
Africa,,2021-04-30,21342436
Africa,,2021-05-01,21548622
Africa,,2021-05-02,21756194
Africa,,2021-05-03,22005156
Africa,,2021-05-04,22420434
Africa,,2021-05-05,22782726
Africa,,2021-05-06,23107904
Africa,,2021-05-07,23758682
Africa,,2021-05-08,24070096
Africa,,2021-05-09,24414038
Africa,,2021-05-10,24759392
Africa,,2021-05-11,25230050
Africa,,2021-05-12,25631268
Africa,,2021-05-13,25916158
Africa,,2021-05-14,26190306
Africa,,2021-05-15,26646402
Africa,,2021-05-16,27054728
Africa,,2021-05-17,27489526
Africa,,2021-05-18,28143594
Africa,,2021-05-19,28876584
Africa,,2021-05-20,29542994
Africa,,2021-05-21,30196136
Africa,,2021-05-22,30667198
Africa,,2021-05-23,31098978
Africa,,2021-05-24,31581070
Africa,,2021-05-25,32435596
Africa,,2021-05-26,33059732
Africa,,2021-05-27,33704572
Africa,,2021-05-28,34309276
Africa,,2021-05-29,34833196
Africa,,2021-05-30,35332188
Africa,,2021-05-31,35883944
Africa,,2021-06-01,36501720
Africa,,2021-06-02,37127164
Africa,,2021-06-03,37829370
Africa,,2021-06-04,38270736
Africa,,2021-06-05,38632800
Africa,,2021-06-06,39102732
Africa,,2021-06-07,39644652
Africa,,2021-06-08,40472930
Africa,,2021-06-09,41187716
Africa,,2021-06-10,41828892
Africa,,2021-06-11,42427200
Africa,,2021-06-12,42785130
Africa,,2021-06-13,43277730
Africa,,2021-06-14,43830156
Africa,,2021-06-15,44436244
Africa,,2021-06-16,44909784
Africa,,2021-06-17,45521788
Africa,,2021-06-18,46078750
Africa,,2021-06-19,46446940
Africa,,2021-06-20,47048636
Africa,,2021-06-21,47663024
Africa,,2021-06-22,48214770
Africa,,2021-06-23,48745336
Africa,,2021-06-24,49311812
Africa,,2021-06-25,49894770
Africa,,2021-06-26,50261604
Africa,,2021-06-27,50740710
Africa,,2021-06-28,51141950
Africa,,2021-06-29,51702492
Africa,,2021-06-30,52315120
Africa,,2021-07-01,52868148
Africa,,2021-07-02,53305876
Africa,,2021-07-03,53680908
Africa,,2021-07-04,54091784
Africa,,2021-07-05,54582400
Africa,,2021-07-06,55044830
Africa,,2021-07-07,55602544
Africa,,2021-07-08,56139780
Africa,,2021-07-09,56700668
Africa,,2021-07-10,57065060
Africa,,2021-07-11,57473400
Africa,,2021-07-12,58192212
Africa,,2021-07-13,58914700
Africa,,2021-07-14,59693468
Africa,,2021-07-15,60760244
Africa,,2021-07-16,61076652
Africa,,2021-07-17,61389780
Africa,,2021-07-18,61651190
Africa,,2021-07-19,62394210
Africa,,2021-07-20,62958668
Africa,,2021-07-21,63638972
Africa,,2021-07-22,64352760
Africa,,2021-07-23,64895520
Africa,,2021-07-24,65190140
Africa,,2021-07-25,65512864
Africa,,2021-07-26,66416196
Africa,,2021-07-27,67493160
Africa,,2021-07-28,68645740
Africa,,2021-07-29,69793070
Africa,,2021-07-30,70458850
Africa,,2021-07-31,70961410
Africa,,2021-08-01,71385530
Africa,,2021-08-02,72114220
Africa,,2021-08-03,73908310
Africa,,2021-08-04,74754630
Africa,,2021-08-05,75571980
Africa,,2021-08-06,76454024
Africa,,2021-08-07,77110450
Africa,,2021-08-08,77714780
Africa,,2021-08-09,78789960
Africa,,2021-08-10,79486720
Africa,,2021-08-11,80680880
Africa,,2021-08-12,81989544
Africa,,2021-08-13,82887680
Africa,,2021-08-14,83525290
Africa,,2021-08-15,84378830
Africa,,2021-08-16,85771000
Africa,,2021-08-17,87367910
Africa,,2021-08-18,88921070
Africa,,2021-08-19,90510790
Africa,,2021-08-20,91689030
Africa,,2021-08-21,92876070
Africa,,2021-08-22,93801144
Africa,,2021-08-23,95476450
Africa,,2021-08-24,97336260
Africa,,2021-08-25,99057010
Africa,,2021-08-26,100848424
Africa,,2021-08-27,102663090
Africa,,2021-08-28,103731120
Africa,,2021-08-29,105546430
Africa,,2021-08-30,106900750
Africa,,2021-08-31,108382300
Africa,,2021-09-01,109963740
Africa,,2021-09-02,111448810
Africa,,2021-09-03,112734584
Africa,,2021-09-04,114340400
Africa,,2021-09-05,115462460
Africa,,2021-09-06,117415970
Africa,,2021-09-07,118497430
Africa,,2021-09-08,119605900
Africa,,2021-09-09,121133210
Africa,,2021-09-10,123221780
Africa,,2021-09-11,125269590
Africa,,2021-09-12,126666190
Africa,,2021-09-13,127943410
Africa,,2021-09-14,129292600
Africa,,2021-09-15,130464490
Africa,,2021-09-16,132711560
Africa,,2021-09-17,134049730
Africa,,2021-09-18,135361650
Africa,,2021-09-19,136712830
Africa,,2021-09-20,138178340
Africa,,2021-09-21,139666930
Africa,,2021-09-22,141192400
Africa,,2021-09-23,142859940
Africa,,2021-09-24,144151260
Africa,,2021-09-25,145404450
Africa,,2021-09-26,146839490
Africa,,2021-09-27,148359490
Africa,,2021-09-28,149683380
Africa,,2021-09-29,150941520
Africa,,2021-09-30,152206290
Africa,,2021-10-01,153584500
Africa,,2021-10-02,154920540
Africa,,2021-10-03,156123090
Africa,,2021-10-04,157427520
Africa,,2021-10-05,158794320
Africa,,2021-10-06,160316720
Africa,,2021-10-07,161657140
Africa,,2021-10-08,162918400
Africa,,2021-10-09,164077650
Africa,,2021-10-10,165264050
Africa,,2021-10-11,166620140
Africa,,2021-10-12,168230110
Africa,,2021-10-13,169957660
Africa,,2021-10-14,171412450
Africa,,2021-10-15,173133580
Africa,,2021-10-16,174640720
Africa,,2021-10-17,176146180
Africa,,2021-10-18,177714740
Africa,,2021-10-19,179247890
Africa,,2021-10-20,180789550
Africa,,2021-10-21,182248100
Africa,,2021-10-22,183943280
Africa,,2021-10-23,185457150
Africa,,2021-10-24,186907780
Africa,,2021-10-25,188933400
Africa,,2021-10-26,190980830
Africa,,2021-10-27,192633400
Africa,,2021-10-28,194240690
Africa,,2021-10-29,196033810
Africa,,2021-10-30,197708750
Africa,,2021-10-31,199173390
Africa,,2021-11-01,200613150
Africa,,2021-11-02,202000200
Africa,,2021-11-03,203359150
Africa,,2021-11-04,204744720
Africa,,2021-11-05,206136110
Africa,,2021-11-06,207406850
Africa,,2021-11-07,209133540
Africa,,2021-11-08,210915680
Africa,,2021-11-09,212740830
Africa,,2021-11-10,214599860
Africa,,2021-11-11,216415680
Africa,,2021-11-12,217964510
Africa,,2021-11-13,219457170
Africa,,2021-11-14,220802880
Africa,,2021-11-15,222292600
Africa,,2021-11-16,223757780
Africa,,2021-11-17,225253380
Africa,,2021-11-18,226658500
Africa,,2021-11-19,228234350
Africa,,2021-11-20,229902270
Africa,,2021-11-21,231698340
Africa,,2021-11-22,233625700
Africa,,2021-11-23,235669390
Africa,,2021-11-24,237881230
Africa,,2021-11-25,240142030
Africa,,2021-11-26,242158060
Africa,,2021-11-27,243947170
Africa,,2021-11-28,245609740
Africa,,2021-11-29,247729420
Africa,,2021-11-30,249865120
Africa,,2021-12-01,251802340
Africa,,2021-12-02,253879330
Africa,,2021-12-03,256536690
Africa,,2021-12-04,258075500
Africa,,2021-12-05,259519680
Africa,,2021-12-06,261152540
Africa,,2021-12-07,262873780
Africa,,2021-12-08,264594270
Africa,,2021-12-09,266262960
Africa,,2021-12-10,268318850
Africa,,2021-12-11,270158530
Africa,,2021-12-12,272021860
Africa,,2021-12-13,273997470
Africa,,2021-12-14,275989340
Africa,,2021-12-15,277960740
Africa,,2021-12-16,280460320
Africa,,2021-12-17,282836030
Africa,,2021-12-18,285146340
Africa,,2021-12-19,287450560
Africa,,2021-12-20,289955170
Africa,,2021-12-21,292549400
Africa,,2021-12-22,295121250
Africa,,2021-12-23,297453730
Africa,,2021-12-24,299361700
Africa,,2021-12-25,301150300
Africa,,2021-12-26,302885470
Africa,,2021-12-27,304462500
Africa,,2021-12-28,306095500
Africa,,2021-12-29,307779070
Africa,,2021-12-30,309422980
Africa,,2021-12-31,311472060
Africa,,2022-01-01,313214750
Africa,,2022-01-02,314518980
Africa,,2022-01-03,316098530
Africa,,2022-01-04,317730560
Africa,,2022-01-05,319087200
Africa,,2022-01-06,320613800
Africa,,2022-01-07,322839940
Africa,,2022-01-08,324791300
Africa,,2022-01-09,326635680
Africa,,2022-01-10,328331780
Africa,,2022-01-11,329772860
Africa,,2022-01-12,331242880
Africa,,2022-01-13,332972030
Africa,,2022-01-14,334904830
Africa,,2022-01-15,336646800
Africa,,2022-01-16,338820480
Africa,,2022-01-17,341164540
Africa,,2022-01-18,342860800
Africa,,2022-01-19,344477220
Africa,,2022-01-20,345863940
Africa,,2022-01-21,347257900
Africa,,2022-01-22,348586940
Africa,,2022-01-23,349840480
Africa,,2022-01-24,351061500
Africa,,2022-01-25,352402080
Africa,,2022-01-26,353918500
Africa,,2022-01-27,355346750
Africa,,2022-01-28,356665760
Africa,,2022-01-29,357926180
Africa,,2022-01-30,359193950
Africa,,2022-01-31,360669860
Africa,,2022-02-01,362492030
Africa,,2022-02-02,364256480
Africa,,2022-02-03,365913900
Africa,,2022-02-04,367559460
Africa,,2022-02-05,369203170
Africa,,2022-02-06,370781900
Africa,,2022-02-07,372268770
Africa,,2022-02-08,373585570
Africa,,2022-02-09,374946270
Africa,,2022-02-10,376370460
Africa,,2022-02-11,377811400
Africa,,2022-02-12,379239600
Africa,,2022-02-13,380577100
Africa,,2022-02-14,381985860
Africa,,2022-02-15,383426240
Africa,,2022-02-16,385910430
Africa,,2022-02-17,388621440
Africa,,2022-02-18,391406620
Africa,,2022-02-19,394700450
Africa,,2022-02-20,397354000
Africa,,2022-02-21,400413950
Africa,,2022-02-22,403354370
Africa,,2022-02-23,405515680
Africa,,2022-02-24,407655680
Africa,,2022-02-25,409020350
Africa,,2022-02-26,411027070
Africa,,2022-02-27,412241400
Africa,,2022-02-28,413625020
Africa,,2022-03-01,414838660
Africa,,2022-03-02,416636130
Africa,,2022-03-03,418033660
Africa,,2022-03-04,419539650
Africa,,2022-03-05,420692830
Africa,,2022-03-06,421807330
Africa,,2022-03-07,423246900
Africa,,2022-03-08,424652960
Africa,,2022-03-09,425933380
Africa,,2022-03-10,426913600
Africa,,2022-03-11,428000400
Africa,,2022-03-12,428807330
Africa,,2022-03-13,429615740
Africa,,2022-03-14,430484500
Africa,,2022-03-15,431434940
Africa,,2022-03-16,432405920
Africa,,2022-03-17,433347620
Africa,,2022-03-18,434254200
Africa,,2022-03-19,435217920
Africa,,2022-03-20,436107500
Africa,,2022-03-21,436900260
Africa,,2022-03-22,437751550
Africa,,2022-03-23,438691360
Africa,,2022-03-24,439726660
Africa,,2022-03-25,440753860
Africa,,2022-03-26,441715940
Africa,,2022-03-27,442574750
Africa,,2022-03-28,443562240
Africa,,2022-03-29,444566140
Africa,,2022-03-30,446123200
Africa,,2022-03-31,447689730
Africa,,2022-04-01,448814980
Africa,,2022-04-02,449893440
Africa,,2022-04-03,450939550
Africa,,2022-04-04,451962720
Africa,,2022-04-05,452954750
Africa,,2022-04-06,453969630
Africa,,2022-04-07,455007070
Africa,,2022-04-08,456012800
Africa,,2022-04-09,457046140
Africa,,2022-04-10,457920420
Africa,,2022-04-11,458551420
Africa,,2022-04-12,459241820
Africa,,2022-04-13,459883740
Africa,,2022-04-14,460542720
Africa,,2022-04-15,461168740
Africa,,2022-04-16,461755550
Africa,,2022-04-17,462337150
Africa,,2022-04-18,462917820
Africa,,2022-04-19,463510140
Africa,,2022-04-20,464132480
Africa,,2022-04-21,464795300
Africa,,2022-04-22,465448420
Africa,,2022-04-23,466104260
Africa,,2022-04-24,466661980
Africa,,2022-04-25,467422980
Africa,,2022-04-26,468240480
Africa,,2022-04-27,469616860
Africa,,2022-04-28,470970000
Africa,,2022-04-29,472364640
Africa,,2022-04-30,473731140
Africa,,2022-05-01,474990100
Africa,,2022-05-02,475700160
Africa,,2022-05-03,476416600
Africa,,2022-05-04,477218300
Africa,,2022-05-05,478050100
Africa,,2022-05-06,478886750
Africa,,2022-05-07,479738140
Africa,,2022-05-08,480541660
Africa,,2022-05-09,481141760
Africa,,2022-05-10,481894370
Africa,,2022-05-11,482618500
Africa,,2022-05-12,483385800
Africa,,2022-05-13,484116400
Africa,,2022-05-14,484912500
Africa,,2022-05-15,485726700
Africa,,2022-05-16,487183650
Africa,,2022-05-17,488655970
Africa,,2022-05-18,490184770
Africa,,2022-05-19,491664740
Africa,,2022-05-20,493132350
Africa,,2022-05-21,494648830
Africa,,2022-05-22,496110530
Africa,,2022-05-23,497018900
Africa,,2022-05-24,497984060
Africa,,2022-05-25,498947230
Africa,,2022-05-26,499912860
Africa,,2022-05-27,501039260
Africa,,2022-05-28,501950270
Africa,,2022-05-29,502829020
Africa,,2022-05-30,503699600
Africa,,2022-05-31,504493730
Africa,,2022-06-01,505466100
Africa,,2022-06-02,506455000
Africa,,2022-06-03,507474800
Africa,,2022-06-04,508294980
Africa,,2022-06-05,509082980
Africa,,2022-06-06,510078400
Africa,,2022-06-07,511104400
Africa,,2022-06-08,512234200
Africa,,2022-06-09,513277950
Africa,,2022-06-10,514320830
Africa,,2022-06-11,515366200
Africa,,2022-06-12,516371550
Africa,,2022-06-13,517366270
Africa,,2022-06-14,518391800
Africa,,2022-06-15,519396580
Africa,,2022-06-16,520393600
Africa,,2022-06-17,521367800
Africa,,2022-06-18,522332260
Africa,,2022-06-19,523276600
Africa,,2022-06-20,527435400
Africa,,2022-06-21,531613540
Africa,,2022-06-22,535798140
Africa,,2022-06-23,540047100
Africa,,2022-06-24,544223300
Africa,,2022-06-25,548391300
Africa,,2022-06-26,552540200
Africa,,2022-06-27,553971000
Africa,,2022-06-28,555793800
Africa,,2022-06-29,557614600
Africa,,2022-06-30,559098240
Africa,,2022-07-01,560504000
Africa,,2022-07-02,561907500
Africa,,2022-07-03,563310600
Africa,,2022-07-04,564583300
Africa,,2022-07-05,565856640
Africa,,2022-07-06,567069250
Africa,,2022-07-07,568280900
Africa,,2022-07-08,569550000
Africa,,2022-07-09,570774100
Africa,,2022-07-10,571978560
Africa,,2022-07-11,573284300
Africa,,2022-07-12,574608830
Africa,,2022-07-13,575934700
Africa,,2022-07-14,577256800
Africa,,2022-07-15,578573600
Africa,,2022-07-16,579888600
Africa,,2022-07-17,581554500
Africa,,2022-07-18,582944260
Africa,,2022-07-19,584349600
Africa,,2022-07-20,585489600
Africa,,2022-07-21,586637250
Africa,,2022-07-22,587780900
Africa,,2022-07-23,588908740
Africa,,2022-07-24,590031200
Africa,,2022-07-25,591029000
Africa,,2022-07-26,592050240
Africa,,2022-07-27,593089860
Africa,,2022-07-28,594055230
Africa,,2022-07-29,595018700
Africa,,2022-07-30,595982600
Africa,,2022-07-31,596935000
Africa,,2022-08-01,597867460
Africa,,2022-08-02,598805800
Africa,,2022-08-03,599748900
Africa,,2022-08-04,600689660
Africa,,2022-08-05,601629700
Africa,,2022-08-06,602566800
Africa,,2022-08-07,603497500
Africa,,2022-08-08,604306500
Africa,,2022-08-09,605116700
Africa,,2022-08-10,605915500
Africa,,2022-08-11,606726660
Africa,,2022-08-12,607536960
Africa,,2022-08-13,608300400
Africa,,2022-08-14,609055550
Africa,,2022-08-15,609797760
Africa,,2022-08-16,610672060
Africa,,2022-08-17,611552830
Africa,,2022-08-18,612427840
Africa,,2022-08-19,613306560
Africa,,2022-08-20,614186200
Africa,,2022-08-21,615050240
Africa,,2022-08-22,615934900
Africa,,2022-08-23,616830300
Africa,,2022-08-24,617726850
Africa,,2022-08-25,618626400
Africa,,2022-08-26,619522900
Africa,,2022-08-27,620416800
Africa,,2022-08-28,621298600
Africa,,2022-08-29,622087500
Africa,,2022-08-30,622894460
Africa,,2022-08-31,623691100
Africa,,2022-09-01,624488060
Africa,,2022-09-02,625285100
Africa,,2022-09-03,626080640
Africa,,2022-09-04,626869500
Africa,,2022-09-05,627525250
Africa,,2022-09-06,628188860
Africa,,2022-09-07,628853500
Africa,,2022-09-08,629517760
Africa,,2022-09-09,630181900
Africa,,2022-09-10,630845760
Africa,,2022-09-11,631501600
Africa,,2022-09-12,632146600
Africa,,2022-09-13,632825900
Africa,,2022-09-14,633509900
Africa,,2022-09-15,634193700
Africa,,2022-09-16,634877440
Africa,,2022-09-17,635556200
Africa,,2022-09-18,636234940
Africa,,2022-09-19,637209900
Africa,,2022-09-20,638198500
Africa,,2022-09-21,639187700
Africa,,2022-09-22,640176400
Africa,,2022-09-23,641168900
Africa,,2022-09-24,642163000
Africa,,2022-09-25,643148600
Africa,,2022-09-26,644372400
