STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,AGE,Age,SEX,Sex,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,Month
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W05,,2.7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W01,,2.7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W02,,2.5,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W03,,2.4,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W04,,2.7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,47,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,48,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,45,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,54,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,AUT,Austria,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,64,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,58,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W01,,2.6,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W02,,2.2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W03,,1.2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W04,,1.2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W05,,1.4,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,72,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,27,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,34,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,BEL,Belgium,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,27,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W01,,3.6,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W02,,4.7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W03,,4.4,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W04,,4.2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W05,,3.9,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,252,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,278,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,332,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,258,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CAN,Canada,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,302,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W01,,6.6,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W03,,6.2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W04,,5.6,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W05,,4.9,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W02,,7.4,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,111,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,124,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,144,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,166,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CHL,Chile,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,158,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,126,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,101,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,58,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,0,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W01,,1.5,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W02,,0,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W03,,2.4,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W04,,2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W05,,4.5,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,COL,Colombia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,80,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CRI,Costa Rica,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,16,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CRI,Costa Rica,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,23,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CRI,Costa Rica,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,19,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CRI,Costa Rica,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,19,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CRI,Costa Rica,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,19,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W01,,2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,58,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,39,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,30,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,16,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W05,,0.9,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W04,,0.7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W03,,1.2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W02,,1.5,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,CZE,Czechia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,21,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W03,,3.2,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W01,,5.1,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,48,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,38,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,19,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,22,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W04,,1.7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W02,,3.7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,PT_DT,Percentage of deaths,2023-W05,,1.9,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,DNK,Denmark,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W01,,70,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,EST,Estonia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W04,,8,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,EST,Estonia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W03,,8,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,EST,Estonia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W05,,7,,A,Normal value,0,Units,2023-01
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_MORTALITY@DF_MORTALITY_COVID(1.0),COVID-19 mortality by week,I,EST,Estonia,W,Weekly,MCVD19,Mortality due to COVID-19,_T,Total,_T,Total,DT,Deaths,2023-W02,,12,,A,Normal value,0,Units,2023-01
